"pokemon","item","percent"
"Greninja","Other","1.838"
"Wigglytuff","Assault Vest","96.197"
"Wigglytuff","Life Orb","3.673"
"Wigglytuff","Other","0.129"
"Porygon2","Eviolite","100.000"
"Porygon2","Other","0.000"
"Guzzlord","Darkinium Z","57.387"
"Guzzlord","Wiki Berry","36.443"
"Guzzlord","Roseli Berry","5.318"
"Guzzlord","Other","0.852"
"Infernape","Focus Sash","67.987"
"Infernape","Fightinium Z","24.109"
"Infernape","Firium Z","2.722"
"Infernape","Rocky Helmet","2.393"
"Infernape","Other","2.789"
"Kyurem-Black","Assault Vest","40.365"
"Kyurem-Black","Icium Z","37.718"
"Kyurem-Black","Steelium Z","10.226"
"Kyurem-Black","Power Herb","4.815"
"Kyurem-Black","Roseli Berry","3.100"
"Kyurem-Black","Other","3.776"
"Lurantis","Choice Scarf","35.740"
"Lurantis","Grassium Z","35.312"
"Lurantis","Aguav Berry","11.655"
"Lurantis","Figy Berry","9.580"
"Lurantis","Assault Vest","5.142"
"Lurantis","Power Anklet","2.145"
"Lurantis","Other","0.425"
"Mismagius","Choice Scarf","59.070"
"Mismagius","Mental Herb","24.806"
"Mismagius","Focus Sash","9.170"
"Mismagius","Choice Specs","5.313"
"Mismagius","Other","1.641"
"Nidoking","Life Orb","67.976"
"Nidoking","Choice Scarf","27.117"
"Nidoking","Iapapa Berry","4.695"
"Nidoking","Other","0.211"
"Metagross","Assault Vest","32.210"
"Metagross","Safety Goggles","30.900"
"Metagross","Iapapa Berry","17.094"
"Metagross","Iron Plate","14.584"
"Metagross","Other","5.211"
"Pinsir-Mega","Pinsirite","100.000"
"Hawlucha","King's Rock","60.062"
"Hawlucha","Psychic Seed","34.986"
"Hawlucha","Electric Seed","4.484"
"Hawlucha","Other","0.468"
"Seismitoad","Groundium Z","89.809"
"Seismitoad","Assault Vest","3.675"
"Seismitoad","Life Orb","2.553"
"Seismitoad","Choice Specs","2.098"
"Seismitoad","Other","1.866"
"Virizion","Grassium Z","99.316"
"Virizion","Other","0.684"
"Blacephalon","Ghostium Z","54.039"
"Blacephalon","Focus Sash","38.531"
"Blacephalon","Choice Scarf","6.578"
"Blacephalon","Other","0.852"
"Golduck","Choice Scarf","55.635"
"Golduck","Focus Sash","21.226"
"Golduck","Mago Berry","8.553"
"Golduck","Waterium Z","7.155"
"Golduck","Sitrus Berry","3.120"
"Golduck","Other","4.290"
"Rotom-Wash","Sitrus Berry","23.437"
"Rotom-Wash","Wiki Berry","22.216"
"Rotom-Wash","Assault Vest","19.514"
"Rotom-Wash","Aguav Berry","18.751"
"Rotom-Wash","Waterium Z","7.550"
"Rotom-Wash","Electrium Z","2.812"
"Rotom-Wash","Other","5.721"
"Scizor-Mega","Scizorite","100.000"
"Pelipper","Focus Sash","76.641"
"Pelipper","Damp Rock","21.963"
"Pelipper","Other","1.396"
